case_id,relative_path,family,representation,size_bytes,sha256,xml_file_count,full_model_count,profiles_json,parse_status,is_boundary,is_error_fixture,duplicate_of,boundary_relative_path,included,exclusion_reason
dev_minigrid_busbranch_cgmes_v2_4_15_minigridtestconfiguration_boundary_v3_33f9dd79,MiniGrid/BusBranch/CGMES_v2.4.15_MiniGridTestConfiguration_Boundary_v3.zip,MiniGrid,BusBranch,3190,33f9dd79c14ed2e8a42b894bd0b95dd363c14dbb2467dc48d40c7abf5429bde3,2,2,"[""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,True,False,,,False,boundary_reference_only
dev_minigrid_busbranch_cgmes_v2_4_15_minigridtestconfiguration_t1_complete_v3_7a15e425,MiniGrid/BusBranch/CGMES_v2.4.15_MiniGridTestConfiguration_T1_Complete_v3.zip,MiniGrid,BusBranch,29358,7a15e425b2dced5e3bca33a83d44fbe335f64c8b1f7df61676b39ad336909765,5,5,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MiniGrid/BusBranch/CGMES_v2.4.15_MiniGridTestConfiguration_Boundary_v3.zip,True,
dev_minigrid_busbranch_cgmes_v2_4_15_minigridtestconfiguration_t2_complete_v3_b1606ea4,MiniGrid/BusBranch/CGMES_v2.4.15_MiniGridTestConfiguration_T2_Complete_v3.zip,MiniGrid,BusBranch,29355,b1606ea4b183c5ad709b0a57b49c9543cc0858c67ed422d2fffa0f0a9a6d70d6,5,5,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MiniGrid/BusBranch/CGMES_v2.4.15_MiniGridTestConfiguration_Boundary_v3.zip,True,
dev_minigrid_nodebreaker_cgmes_v2_4_15_minigridtestconfiguration_basecase_complete_v3_baae1f8b,MiniGrid/NodeBreaker/CGMES_v2.4.15_MiniGridTestConfiguration_BaseCase_Complete_v3.zip,MiniGrid,NodeBreaker,105940,baae1f8b6ddfa062dac597bd6547f4dbaa2db4a463b467ffdeb1484df35b5ba1,5,5,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MiniGrid/NodeBreaker/CGMES_v2.4.15_MiniGridTestConfiguration_Boundary_v3.zip,True,
dev_minigrid_nodebreaker_cgmes_v2_4_15_minigridtestconfiguration_boundary_v3_fa9c6d36,MiniGrid/NodeBreaker/CGMES_v2.4.15_MiniGridTestConfiguration_Boundary_v3.zip,MiniGrid,NodeBreaker,3189,fa9c6d36bafc7c6f5c8927e8eeaf42b39ab343afdbb8913c722b5b43c9514beb,2,2,"[""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,True,False,,,False,boundary_reference_only
dev_minigrid_nodebreaker_cgmes_v2_4_15_minigridtestconfiguration_t1_complete_v3_27a55654,MiniGrid/NodeBreaker/CGMES_v2.4.15_MiniGridTestConfiguration_T1_Complete_v3.zip,MiniGrid,NodeBreaker,105931,27a55654fa98ae468397fe3e29bf91550145a3d139d38a0d4d9d9f6b10b4e77f,5,5,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MiniGrid/NodeBreaker/CGMES_v2.4.15_MiniGridTestConfiguration_Boundary_v3.zip,True,
dev_minigrid_nodebreaker_cgmes_v2_4_15_minigridtestconfiguration_t2_complete_v3_d7a412a5,MiniGrid/NodeBreaker/CGMES_v2.4.15_MiniGridTestConfiguration_T2_Complete_v3.zip,MiniGrid,NodeBreaker,105910,d7a412a55edd9c7826498c5072480ca4f49fe56ce37936fc41e206047d769f75,5,5,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/EquipmentShortCircuit/3/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,MiniGrid/NodeBreaker/CGMES_v2.4.15_MiniGridTestConfiguration_Boundary_v3.zip,True,
dev_realgrid_cgmes_v2_4_15_realgridtestconfiguration_v2_836a7e9e,RealGrid/CGMES_v2.4.15_RealGridTestConfiguration_v2.zip,RealGrid,assembled_or_unspecified,2732205,836a7e9e99e2fcc1b48ba0112341359cd5192008cb45c498373713fb8bb6da67,4,4,"[""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,,True,
dev_smallgrid_busbranch_cgmes_v2_4_15_smallgridtestconfiguration_basecase_complete_v3_0_0_015355b3,SmallGrid/BusBranch/CGMES_v2.4.15_SmallGridTestConfiguration_BaseCase_Complete_v3.0.0.zip,SmallGrid,BusBranch,219517,015355b3dcb22eed26286679bf9094746817f6fa12e2a4d8e237a3fd812a43bb,6,6,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,SmallGrid/BusBranch/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,True,
dev_smallgrid_busbranch_cgmes_v2_4_15_smallgridtestconfiguration_boundary_v3_0_0_130b098e,SmallGrid/BusBranch/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,SmallGrid,BusBranch,4115,130b098ea3c2d17675323ccdf70ea1bfab91ae5982de76b13458536abfd51938,2,2,"[""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,True,False,,,False,boundary_reference_only
dev_smallgrid_busbranch_cgmes_v2_4_15_smallgridtestconfiguration_hvdc_complete_v3_0_0_2972f49f,SmallGrid/BusBranch/CGMES_v2.4.15_SmallGridTestConfiguration_HVDC_Complete_v3.0.0.zip,SmallGrid,BusBranch,202484,2972f49fa5924a04798eb163c14ff0a1d60eeb9ac3ca9b6971a0d7309d43a4dc,6,6,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,SmallGrid/BusBranch/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,True,
dev_smallgrid_busbranch_cgmes_v2_4_15_smallgridtestconfiguration_reducednetwork_complete_v3_0_0_e1d0573f,SmallGrid/BusBranch/CGMES_v2.4.15_SmallGridTestConfiguration_ReducedNetwork_Complete_v3.0.0.zip,SmallGrid,BusBranch,211375,e1d0573febf318f4ea9c09830cbcf6e68b5efea9cd3fa69d95587b7535da96e1,6,6,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,SmallGrid/BusBranch/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,True,
dev_smallgrid_nodebreaker_cgmes_v2_4_15_smallgridtestconfiguration_basecase_complete_v3_0_0_a1eaed85,SmallGrid/NodeBreaker/CGMES_v2.4.15_SmallGridTestConfiguration_BaseCase_Complete_v3.0.0.zip,SmallGrid,NodeBreaker,1185644,a1eaed85d85b0f7796f0b961b9d0d75cfba29fb711b30344a5cf958a3f5014e6,6,6,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,SmallGrid/NodeBreaker/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,True,
dev_smallgrid_nodebreaker_cgmes_v2_4_15_smallgridtestconfiguration_boundary_v3_0_0_8148aa1a,SmallGrid/NodeBreaker/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,SmallGrid,NodeBreaker,4115,8148aa1a0eee7f237b704c28290e8df28a20244bee3aeec19409620582f89ac7,2,2,"[""http://entsoe.eu/CIM/EquipmentBoundary/3/1"", ""http://entsoe.eu/CIM/EquipmentBoundaryOperation/3/1"", ""http://entsoe.eu/CIM/TopologyBoundary/3/1""]",success,True,False,,,False,boundary_reference_only
dev_smallgrid_nodebreaker_cgmes_v2_4_15_smallgridtestconfiguration_hvdc_complete_v3_0_0_bd9c0ef3,SmallGrid/NodeBreaker/CGMES_v2.4.15_SmallGridTestConfiguration_HVDC_Complete_v3.0.0.zip,SmallGrid,NodeBreaker,1187219,bd9c0ef31badc3fdb8ea714fa7d78a52f8fe142f2fd17f223001ce16a749dd6f,6,6,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,SmallGrid/NodeBreaker/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,True,
dev_smallgrid_nodebreaker_cgmes_v2_4_15_smallgridtestconfiguration_reducednetwork_complete_v3_0_0_71d3aafd,SmallGrid/NodeBreaker/CGMES_v2.4.15_SmallGridTestConfiguration_ReducedNetwork_Complete_v3.0.0.zip,SmallGrid,NodeBreaker,1111646,71d3aafd09b010f426136b4e6a326accae3e3afdd6a55c9b7ca728ec940541c5,6,6,"[""http://entsoe.eu/CIM/DiagramLayout/3/1"", ""http://entsoe.eu/CIM/EquipmentCore/3/1"", ""http://entsoe.eu/CIM/EquipmentOperation/3/1"", ""http://entsoe.eu/CIM/GeographicalLocation/2/1"", ""http://entsoe.eu/CIM/StateVariables/4/1"", ""http://entsoe.eu/CIM/SteadyStateHypothesis/1/1"", ""http://entsoe.eu/CIM/Topology/4/1""]",success,False,False,,SmallGrid/NodeBreaker/CGMES_v2.4.15_SmallGridTestConfiguration_Boundary_v3.0.0.zip,True,
